Player,Shot,Point,Game,Set,bounce_x_std,bounce_y_std,hit_x_std,hit_y_std,hit_z,Speed (MPH),Type,Stroke,Spin,Bounce Depth,Bounce Zone,Hit Zone,Result,Winner,Hit Depth,Direction,Hit Side,Bounce (x),Bounce (y),Hit (x),Hit (y)
Adi Bitton,3,28,5,1,2.802005,5.133915,2.470703,1.186212,1.349609,56.235508,serve_plus_one,Forehand,Topspin,deep,deuce,deuce,In,Opponent,deep,cross court,far,2.802005,5.133915,-2.470703,22.583788
Opponent,4,28,5,1,-1.950191,4.560987,4.089844,-0.915872,1.091797,33.15778,return_plus_one,Forehand,Topspin,deep,ad,deuce,In,Opponent,out,down the line,near,1.950191,19.209013,4.089844,-0.915872
Adi Bitton,5,28,5,1,2.521484,18.226231,-1.449219,0.811212,1.800781,22.516716,in_play,Overhead,Topspin,short,ad,ad,Net,Opponent,deep,cross court,far,2.521484,18.226231,1.449219,22.958788
Adi Bitton,1,29,5,1,-1.216941,6.786334,-0.269531,1.436212,2.396484,65.946472,first_serve,Serve,Kick,short,ad,ad,In,Opponent,deep,down the T,far,-1.216941,6.786334,0.269531,22.333788
Opponent,2,29,5,1,-1.541932,0.416482,-1.336914,-2.079935,1.133789,52.88707,first_return,Forehand,Flat,deep,ad,ad,In,Opponent,out,inside out,near,1.541932,23.353518,-1.336914,-2.079935
Adi Bitton,3,29,5,1,0.386645,1.099705,-1.568359,-0.407538,1.172852,49.768391,serve_plus_one,Backhand,Flat,deep,deuce,ad,In,Opponent,deep,down the line,far,0.386645,1.099705,1.568359,24.177538
Opponent,4,29,5,1,-1.172081,2.057334,0.469238,-2.18931,0.910645,51.044056,return_plus_one,Forehand,Flat,deep,ad,deuce,In,Opponent,out,down the line,near,1.172081,21.712666,0.469238,-2.18931
Adi Bitton,5,29,5,1,2.855469,12.5625,-1.280273,-0.595038,1.175781,37.003971,in_play,Forehand,Topspin,short,ad,ad,Net,Opponent,deep,inside out,far,2.855469,12.5625,1.280273,24.365038
Opponent,1,30,6,1,0.546687,6.569941,1.371094,-0.610663,2.369141,75.520233,first_serve,Serve,Kick,short,deuce,deuce,In,Opponent,deep,down the T,far,0.546687,6.569941,-1.371094,24.380663
Adi Bitton,2,30,6,1,-1.833847,5.800203,0.618652,-1.861184,1.228516,51.201481,first_return,Backhand,Flat,short,ad,deuce,In,Opponent,out,inside in,near,1.833847,17.969797,0.618652,-1.861184
Opponent,3,30,6,1,-1.499381,1.149604,-2.228516,-0.157538,1.418945,48.259411,serve_plus_one,Backhand,Topspin,deep,ad,ad,In,Opponent,deep,cross court,far,-1.499381,1.149604,2.228516,23.927538
Adi Bitton,4,30,6,1,-1.786913,4.975202,-1.947266,-2.603372,1.361328,48.412849,return_plus_one,Backhand,Topspin,deep,ad,ad,In,Opponent,out,cross court,near,1.786913,18.794798,-1.947266,-2.603372
Opponent,5,30,6,1,-2.812113,4.617393,-2.164062,-0.407538,1.580078,49.213951,in_play,Backhand,Topspin,deep,ad,ad,In,Opponent,deep,cross court,far,-2.812113,4.617393,2.164062,24.177538
Adi Bitton,6,30,6,1,-1.134766,16.395844,-3.673828,-0.603372,1.307617,35.42239,in_play,Backhand,Topspin,short,deuce,ad,Net,Adi Bitton,out,down the line,near,1.134766,7.374156,-3.673828,-0.603372
Opponent,1,31,6,1,-3.930593,4.804177,-1.540039,-0.282538,2.445312,67.477081,first_serve,Serve,Slice,deep,ad,ad,Out,Adi Bitton,deep,out wide,far,-3.930593,4.804177,1.540039,24.052538
Opponent,1,31,6,1,-2.472397,6.764435,-1.125,0.092462,2.408203,55.760456,second_serve,Serve,Kick,short,ad,ad,In,Adi Bitton,deep,out wide,far,-2.472397,6.764435,1.125,23.677538
Adi Bitton,2,31,6,1,0.492626,4.911197,-3.818359,-0.853372,1.322266,63.940731,second_return,Forehand,Topspin,deep,deuce,ad,In,Adi Bitton,out,inside in,near,-0.492626,18.858803,-3.818359,-0.853372
Opponent,3,31,6,1,1.461109,-1.178072,-0.755859,-1.095038,1.231445,52.820335,serve_plus_one,Forehand,Topspin,out,deuce,ad,Out,Opponent,deep,inside in,far,1.461109,-1.178072,0.755859,24.865038
Opponent,1,32,6,1,1.572338,7.345914,0.527832,1.420587,2.171875,68.191078,first_serve,Serve,Slice,short,deuce,deuce,In,Opponent,deep,down the T,far,1.572338,7.345914,-0.527832,22.349413
Adi Bitton,2,32,6,1,-3.198302,2.334131,1.908203,-1.009622,1.226562,49.382053,first_return,Backhand,Flat,deep,ad,deuce,In,Opponent,out,inside in,near,3.198302,21.435869,1.908203,-1.009622
Opponent,3,32,6,1,-1.154788,5.427613,-2.832031,-1.907538,1.501953,42.260216,serve_plus_one,Backhand,Topspin,deep,ad,ad,In,Opponent,out,cross court,far,-1.154788,5.427613,2.832031,25.677538
Adi Bitton,4,32,6,1,1.662381,3.151285,-2.183594,-0.697122,1.583984,52.862854,return_plus_one,Backhand,Flat,deep,deuce,ad,In,Opponent,out,down the line,near,-1.662381,20.618715,-2.183594,-0.697122
Opponent,5,32,6,1,0.189234,2.820123,2.0625,-1.345038,1.21875,56.523285,in_play,Forehand,Topspin,deep,deuce,deuce,In,Opponent,out,cross court,far,0.189234,2.820123,-2.0625,25.115038
Adi Bitton,6,32,6,1,-0.353075,4.333656,0.262207,-1.572122,1.173828,55.953964,in_play,Forehand,Topspin,deep,ad,deuce,In,Opponent,out,down the line,near,0.353075,19.436344,0.262207,-1.572122
Opponent,7,32,6,1,-2.258706,3.016668,0.164795,-0.876288,1.011719,46.365089,in_play,Backhand,Topspin,deep,ad,deuce,In,Opponent,deep,inside in,far,-2.258706,3.016668,-0.164795,24.646288
Adi Bitton,8,32,6,1,-0.666659,0.813232,-2.927734,-1.845559,1.925781,40.178364,in_play,Backhand,Topspin,deep,ad,ad,In,Opponent,out,cross court,near,0.666659,22.956768,-2.927734,-1.845559
Opponent,9,32,6,1,-1.863074,4.632365,-0.717773,-1.751288,1.505859,31.465996,in_play,Backhand,Topspin,deep,ad,ad,In,Opponent,out,cross court,far,-1.863074,4.632365,0.717773,25.521288
Adi Bitton,10,32,6,1,1.496578,4.302843,-3.357422,-0.400247,2.083984,42.14679,in_play,Backhand,Topspin,deep,deuce,ad,In,Opponent,deep,down the line,near,-1.496578,19.467157,-3.357422,-0.400247
Opponent,11,32,6,1,0.924319,4.424491,1.361328,0.061212,1.529297,61.063564,in_play,Forehand,Flat,deep,deuce,deuce,In,Opponent,deep,cross court,far,0.924319,4.424491,-1.361328,23.708788
Adi Bitton,12,32,6,1,0.531003,4.225261,1.332031,-1.267434,1.001953,57.898987,in_play,Forehand,Flat,deep,deuce,deuce,In,Opponent,out,cross court,near,-0.531003,19.544739,1.332031,-1.267434
Opponent,13,32,6,1,-1.225742,4.023284,1.361328,0.061212,0.921875,36.615681,in_play,Forehand,Slice,deep,ad,deuce,In,Opponent,deep,down the line,far,-1.225742,4.023284,-1.361328,23.708788
Adi Bitton,14,32,6,1,-1.845703,16.089668,-1.316406,0.412253,0.905273,32.685032,in_play,Backhand,Topspin,short,deuce,ad,Net,Opponent,deep,down the line,near,1.845703,7.680332,-1.316406,0.412253
Opponent,1,33,6,1,-1.546209,4.999996,-0.715332,0.420587,2.289062,83.083473,first_serve,Serve,Flat,deep,ad,ad,Out,Opponent,deep,down the T,far,-1.546209,4.999996,0.715332,23.349413
Opponent,1,33,6,1,-3.633357,7.437561,-1.039062,0.154962,2.255859,49.659279,second_serve,Serve,Kick,short,ad,ad,In,Opponent,deep,out wide,far,-3.633357,7.437561,1.039062,23.615038
Adi Bitton,2,33,6,1,0.249756,16.680781,-5.1875,-0.970559,1.068359,40.30378,second_return,Backhand,Topspin,short,ad,ad_alley,Net,Adi Bitton,out,down the line,near,-0.249756,7.089219,-5.1875,-0.970559
Opponent,1,34,6,1,0.695801,6.442254,1.302734,-0.688788,2.335938,76.403717,first_serve,Serve,Kick,short,deuce,deuce,In,Adi Bitton,deep,down the T,far,0.695801,6.442254,-1.302734,24.458788
Adi Bitton,2,34,6,1,0.986605,2.973175,0.76416,-2.15806,1.051758,55.24258,first_return,Backhand,Flat,deep,deuce,deuce,In,Adi Bitton,out,inside out,near,-0.986605,20.796825,0.76416,-2.15806
Opponent,3,34,6,1,-1.575016,2.926226,1.920898,-0.423163,1.361328,46.564636,serve_plus_one,Forehand,Flat,deep,ad,deuce,In,Adi Bitton,deep,down the line,far,-1.575016,2.926226,-1.920898,24.193163
Adi Bitton,4,34,6,1,-3.888527,4.130651,-1.300781,-1.900247,1.236328,63.462803,return_plus_one,Backhand,Flat,deep,ad,ad,In,Opponent,out,cross court,near,3.888527,19.639349,-1.300781,-1.900247
Opponent,1,35,6,1,-0.967876,6.751786,-1.236328,0.154962,2.5625,71.782356,first_serve,Serve,Kick,short,ad,ad,In,Opponent,deep,down the T,far,-0.967876,6.751786,1.236328,23.615038
Adi Bitton,2,35,6,1,0.010455,2.397392,-2.421875,-0.681497,1.191406,44.128193,first_return,Forehand,Flat,deep,deuce,ad,In,Opponent,out,inside in,near,-0.010455,21.372608,-2.421875,-0.681497
Opponent,3,35,6,1,2.490446,3.565662,0.520508,-0.516913,1.53125,51.031979,serve_plus_one,Forehand,Topspin,deep,deuce,deuce,In,Opponent,deep,cross court,far,2.490446,3.565662,-0.520508,24.286913
Adi Bitton,4,35,6,1,1.863281,16.327634,2.841797,-1.173684,1.154297,33.32283,return_plus_one,Forehand,Topspin,short,ad,deuce,Net,Adi Bitton,out,down the line,near,-1.863281,7.442366,2.841797,-1.173684
Adi Bitton,1,36,7,1,2.446887,7.56241,1.545898,0.310691,2.271484,65.979813,first_serve,Serve,Slice,short,deuce,deuce,In,Adi Bitton,deep,out wide,near,-2.446887,16.20759,1.545898,0.310691
Opponent,2,36,7,1,-1.699219,12.375,5.640625,-0.188788,0.841309,37.466324,first_return,Forehand,Topspin,short,deuce,deuce_out,Net,Opponent,deep,down the line,far,-1.699219,12.375,-5.640625,23.958788
Adi Bitton,1,37,7,1,-0.309012,4.928558,-0.628418,-0.290872,2.216797,69.114601,first_serve,Serve,Kick,deep,ad,ad,Out,Opponent,deep,down the T,near,0.309012,18.841442,-0.628418,-0.290872
Adi Bitton,1,37,7,1,-1.830419,7.800166,-0.295166,-0.486184,2.074219,63.314407,second_serve,Serve,Kick,short,ad,ad,In,Opponent,deep,down the T,near,1.830419,15.969834,-0.295166,-0.486184
Opponent,2,37,7,1,-1.342792,2.277649,-2.080078,-0.470038,1.232422,52.4356,second_return,Forehand,Flat,deep,ad,ad,In,Opponent,deep,inside out,far,-1.342792,2.277649,2.080078,24.240038
Adi Bitton,3,37,7,1,-1.685203,0.167892,-1.551758,-2.993997,1.418945,55.836693,serve_plus_one,Backhand,Topspin,deep,ad,ad,In,Opponent,out,cross court,near,1.685203,23.602108,-1.551758,-2.993997
Opponent,4,37,7,1,2.404036,4.509591,-1.571289,-0.798163,1.151367,41.353611,return_plus_one,Backhand,Topspin,deep,deuce,ad,In,Opponent,deep,down the line,far,2.404036,4.509591,1.571289,24.568163
Adi Bitton,5,37,7,1,2.544922,5.424915,2.210938,-1.533059,1.441406,58.642147,in_play,Forehand,Topspin,deep,deuce,deuce,In,Opponent,out,cross court,near,-2.544922,18.345085,2.210938,-1.533059
Opponent,6,37,7,1,-3.650849,7.607104,4.429688,-2.345038,0.994141,34.960873,in_play,Forehand,Flat,short,ad,deuce_alley,In,Opponent,out,down the line,far,-3.650849,7.607104,-4.429688,26.115038
Adi Bitton,7,37,7,1,-4.745271,6.414598,-3.371094,0.959128,1.757812,77.81562,in_play,Overhead,Topspin,short,ad_alley,ad,Out,Opponent,deep,---,near,4.745271,17.355402,-3.371094,0.959128
Adi Bitton,1,38,7,1,-1.382812,11.941875,1.744141,0.966941,2.3125,37.147114,first_serve,Serve,Flat,short,deuce,deuce,Net,Opponent,deep,down the T,near,1.382812,11.828125,1.744141,0.966941
Adi Bitton,1,38,7,1,2.530821,4.147478,1.537109,0.974753,2.363281,54.833019,second_serve,Serve,Slice,deep,deuce,deuce,Out,Opponent,deep,down the T,near,-2.530821,19.622522,1.537109,0.974753
Opponent,2,38,7,1,-0.765981,5.804919,3.666016,0.498712,1.15918,37.781761,second_return,Forehand,Topspin,short,ad,deuce,In,Opponent,deep,down the line,far,-0.765981,5.804919,-3.666016,23.271288
Adi Bitton,1,39,7,1,-3.244141,5.400392,0.082336,0.222415,2.164062,49.046185,first_serve,Serve,Kick,deep,ad,ad,Out,Opponent,deep,out wide,near,3.244141,18.369608,0.082336,0.222415
Adi Bitton,1,39,7,1,-2.240574,7.085975,-0.529785,0.006003,2.234375,64.314476,second_serve,Serve,Kick,short,ad,ad,In,Opponent,deep,out wide,near,2.240574,16.684025,-0.529785,0.006003
Opponent,2,39,7,1,-1.377112,4.343982,-2.109375,0.061212,1.375977,59.207809,second_return,Forehand,Flat,deep,ad,ad,In,Opponent,deep,inside out,far,-1.377112,4.343982,2.109375,23.708788
Adi Bitton,3,39,7,1,-5.422022,3.491525,-2.296875,-0.939309,1.105469,52.486698,serve_plus_one,Backhand,Topspin,deep,ad_alley,ad,Out,Opponent,out,down the line,near,5.422022,20.278475,-2.296875,-0.939309
Adi Bitton,1,40,7,1,2.419075,6.195798,1.574219,0.263816,2.484375,67.702888,first_serve,Serve,Flat,short,deuce,deuce,In,Opponent,deep,out wide,near,-2.419075,17.574202,1.574219,0.263816
Opponent,2,40,7,1,0.812394,0.492865,4.429688,-1.048163,1.032227,52.793045,first_return,Forehand,Topspin,deep,deuce,deuce_alley,In,Opponent,deep,down the line,far,0.812394,0.492865,-4.429688,24.818163
Adi Bitton,3,40,7,1,0.077793,7.657943,1.167969,-1.408059,1.224609,47.21389,serve_plus_one,Forehand,Topspin,short,deuce,deuce,In,Opponent,out,cross court,near,-0.077793,16.112057,1.167969,-1.408059
Opponent,4,40,7,1,-1.387379,2.339825,1.15332,-0.563788,0.523926,38.469742,return_plus_one,Forehand,Slice,deep,ad,deuce,In,Opponent,deep,down the line,far,-1.387379,2.339825,-1.15332,24.333788
Adi Bitton,5,40,7,1,2.29326,5.53165,-1.805664,-0.814309,1.033203,57.199326,in_play,Backhand,Flat,short,deuce,ad,In,Opponent,out,down the line,near,-2.29326,18.23835,-1.805664,-0.814309
Opponent,6,40,7,1,-1.388677,0.418124,2.449219,-1.423163,0.910645,35.474266,in_play,Forehand,Slice,deep,ad,deuce,In,Opponent,out,down the line,far,-1.388677,0.418124,-2.449219,25.193163
Adi Bitton,7,40,7,1,-2.58106,4.109787,-1.007812,-1.954934,1.182617,62.940002,in_play,Backhand,Flat,deep,ad,ad,In,Opponent,out,cross court,near,2.58106,19.660213,-1.007812,-1.954934
Opponent,8,40,7,1,-1.592162,4.211551,-3.380859,-1.141913,0.962402,41.715984,in_play,Backhand,Topspin,deep,ad,ad,In,Opponent,deep,cross court,far,-1.592162,4.211551,3.380859,24.911913
Adi Bitton,9,40,7,1,1.750977,17.941788,-2.697266,-1.017434,1.671875,27.496157,in_play,Backhand,Slice,short,ad,ad,Net,Opponent,out,cross court,near,-1.750977,5.828212,-2.697266,-1.017434
Opponent,1,41,8,1,1.769305,5.999696,1.035156,0.138816,2.480469,76.45285,first_serve,Serve,Flat,short,deuce,deuce,In,Opponent,deep,down the T,near,-1.769305,17.770304,1.035156,0.138816
Adi Bitton,2,41,8,1,-1.838362,0.636324,2.316406,0.139337,1.632812,51.674889,first_return,Backhand,Flat,deep,ad,deuce,In,Opponent,deep,inside in,far,-1.838362,0.636324,-2.316406,23.630663
Opponent,3,41,8,1,-0.308159,2.011837,-1.688477,-1.704934,1.103516,44.614525,serve_plus_one,Backhand,Topspin,deep,ad,ad,In,Opponent,out,cross court,near,0.308159,21.758163,-1.688477,-1.704934
Adi Bitton,4,41,8,1,-1.519377,1.551398,-0.406006,-0.048163,1.515625,33.142494,return_plus_one,Backhand,Topspin,deep,ad,ad,In,Opponent,deep,cross court,far,-1.519377,1.551398,0.406006,23.818163
Opponent,5,41,8,1,-0.780603,2.902553,-2.287109,-2.118997,1.857422,36.77697,in_play,Backhand,Topspin,deep,ad,ad,In,Opponent,out,cross court,near,0.780603,20.867447,-2.287109,-2.118997
Adi Bitton,6,41,8,1,-2.250108,8.857057,-0.316895,-0.813788,1.886719,52.688259,in_play,Forehand,Flat,short,ad,ad,In,Opponent,deep,inside out,far,-2.250108,8.857057,0.316895,24.583788
Opponent,7,41,8,1,-1.37099,7.223312,-4.28125,-0.001809,0.600098,48.813431,in_play,Backhand,Flat,short,ad,ad_alley,In,Opponent,deep,down the line,near,1.37099,16.546688,-4.28125,-0.001809
Adi Bitton,8,41,8,1,-0.028299,3.868562,-1.619141,5.295587,1.176758,56.907589,in_play,Backhand,Slice,deep,ad,ad,In,Opponent,short,cross court,far,-0.028299,3.868562,1.619141,18.474413
Opponent,9,41,8,1,-2.556641,7.02,-0.266357,1.537253,1.133789,63.392838,in_play,Forehand,Topspin,short,ad,ad,In,Opponent,deep,inside out,near,2.556641,16.75,-0.266357,1.537253
Adi Bitton,10,41,8,1,4.838296,15.323325,-2.556641,5.811212,2.232422,23.585333,in_play,Volley,Slice,short,ad_alley,ad,Net,Opponent,short,down the line,far,4.838296,15.323325,2.556641,17.958788
Opponent,1,42,8,1,-2.65133,6.903518,-1.150391,0.888816,2.265625,62.674744,first_serve,Serve,Slice,short,ad,ad,In,Opponent,deep,out wide,near,2.65133,16.866482,-1.150391,0.888816
Adi Bitton,2,42,8,1,-0.754604,5.422188,-3.542969,-0.251288,1.166016,41.576965,first_return,Backhand,Topspin,deep,ad,ad,In,Opponent,deep,cross court,far,-0.754604,5.422188,3.542969,24.021288
Opponent,3,42,8,1,2.38563,2.46816,-2.419922,-0.775247,0.923828,54.955551,serve_plus_one,Backhand,Topspin,deep,deuce,ad,In,Opponent,out,down the line,near,-2.38563,21.30184,-2.419922,-0.775247
Adi Bitton,4,42,8,1,4.119462,-0.078645,2.4375,-1.407538,1.303711,57.530415,return_plus_one,Forehand,Topspin,out,deuce_alley,deuce,Out,Adi Bitton,out,down the line,far,4.119462,-0.078645,-2.4375,25.177538
Opponent,1,43,8,1,4.159159,5.494045,0.556152,0.310691,2.390625,90.661507,first_serve,Serve,Flat,short,deuce_alley,deuce,Out,Adi Bitton,deep,out wide,near,-4.159159,18.275955,0.556152,0.310691
Opponent,1,44,8,1,-0.544922,9.340312,-0.572754,0.103111,2.126953,70.26664,first_serve,Serve,Flat,short,ad,ad,In,Adi Bitton,deep,down the T,near,0.544922,14.429688,-0.572754,0.103111
Opponent,1,44,8,1,-2.462042,6.606567,-1.435547,0.006003,2.308594,60.309849,second_serve,Serve,Slice,short,ad,ad,In,Adi Bitton,deep,out wide,near,2.462042,17.163433,-1.435547,0.006003
Adi Bitton,2,44,8,1,-2.739552,4.675868,-3.859375,0.342462,1.448242,56.156384,second_return,Backhand,Flat,deep,ad,ad,In,Adi Bitton,deep,cross court,far,-2.739552,4.675868,3.859375,23.427538
Opponent,3,44,8,1,0.332498,0.017389,-4.339844,-0.868997,1.185547,56.881409,serve_plus_one,Backhand,Topspin,deep,deuce,ad_alley,In,Adi Bitton,out,down the line,near,-0.332498,23.752611,-4.339844,-0.868997
Adi Bitton,4,44,8,1,3.299071,3.131372,0.393066,0.248712,0.649902,39.189938,return_plus_one,Forehand,Topspin,deep,deuce,deuce,In,Adi Bitton,deep,cross court,far,3.299071,3.131372,-0.393066,23.521288
Opponent,5,44,8,1,-1.489479,0.410003,3.275391,-0.626809,1.182617,37.402576,in_play,Forehand,Topspin,deep,ad,deuce,In,Adi Bitton,out,down the line,near,1.489479,23.359997,3.275391,-0.626809
Adi Bitton,6,44,8,1,2.117048,7.982081,-0.941406,1.076837,2.214844,50.03215,in_play,Forehand,Flat,short,deuce,ad,In,Adi Bitton,deep,inside in,far,2.117048,7.982081,0.941406,22.693163
Opponent,7,44,8,1,-3.33024,0.832998,2.080078,-2.306497,0.624023,38.611031,in_play,Forehand,Slice,deep,ad,deuce,In,Adi Bitton,out,down the line,near,3.33024,22.937002,2.080078,-2.306497
Adi Bitton,8,44,8,1,3.520928,4.444607,-3.380859,-0.563788,1.351562,61.17543,in_play,Backhand,Flat,deep,deuce,ad,In,Adi Bitton,deep,down the line,far,3.520928,4.444607,3.380859,24.333788
Opponent,1,45,8,1,0.491455,8.879375,0.430664,0.732566,2.191406,67.289879,first_serve,Serve,Flat,short,deuce,deuce,In,Adi Bitton,deep,down the T,near,-0.491455,14.890625,0.430664,0.732566
Adi Bitton,2,45,8,1,-3.34375,10.289062,1.569336,-0.813788,0.924805,31.324965,first_return,Backhand,Slice,short,ad,deuce,In,Opponent,deep,inside in,far,-3.34375,10.289062,-1.569336,24.583788
Adi Bitton,1,46,9,1,3.53636,6.801228,1.671875,0.420587,2.191406,61.770954,first_serve,Serve,Slice,short,deuce,deuce,In,Opponent,deep,out wide,far,3.53636,6.801228,-1.671875,23.349413
Opponent,2,46,9,1,0.29808,-0.000628,4.773438,-0.165872,1.179688,52.79821,first_return,Forehand,Topspin,deep,deuce,deuce_alley,In,Opponent,deep,down the line,near,-0.29808,23.770628,4.773438,-0.165872
Adi Bitton,3,46,9,1,-0.748629,-1.579945,0.620605,0.842462,0.996094,46.414978,serve_plus_one,Backhand,Flat,out,ad,deuce,Out,Opponent,deep,inside in,far,-0.748629,-1.579945,-0.620605,22.927538
Adi Bitton,1,47,9,1,-0.819062,7.317843,-0.412598,0.561212,2.345703,63.504326,first_serve,Serve,Slice,short,ad,ad,In,Opponent,deep,down the T,far,-0.819062,7.317843,0.412598,23.208788
Opponent,2,47,9,1,-1.292714,3.207441,-1.042969,-2.00181,1.310547,58.105919,first_return,Forehand,Flat,deep,ad,ad,In,Opponent,out,inside out,near,1.292714,20.562559,-1.042969,-2.00181
Adi Bitton,3,47,9,1,-3.556902,-1.023948,-1.441406,-0.220038,1.011719,54.763763,serve_plus_one,Backhand,Topspin,out,ad,ad,Out,Opponent,deep,cross court,far,-3.556902,-1.023948,1.441406,23.990038
Adi Bitton,1,48,9,1,2.142167,7.856734,1.686523,-0.407538,2.318359,81.079613,first_serve,Serve,Slice,short,deuce,deuce,In,Opponent,deep,out wide,far,2.142167,7.856734,-1.686523,24.177538
Opponent,2,48,9,1,-1.564497,0.709791,3.976562,0.537253,1.327148,50.457592,first_return,Forehand,Topspin,deep,ad,deuce,In,Opponent,deep,down the line,near,1.564497,23.060209,3.976562,0.537253
Adi Bitton,3,48,9,1,-2.376599,6.112546,-1.135742,-0.282538,1.376953,47.972042,serve_plus_one,Backhand,Topspin,short,ad,ad,In,Opponent,deep,cross court,far,-2.376599,6.112546,1.135742,24.052538
Opponent,4,48,9,1,-2.317006,5.49802,-3.451172,-1.017434,0.705078,41.603664,return_plus_one,Backhand,Flat,short,ad,ad,In,Opponent,out,cross court,near,2.317006,18.27198,-3.451172,-1.017434
Adi Bitton,5,48,9,1,2.114714,2.321676,-3.625,0.436212,1.521484,62.106453,in_play,Backhand,Flat,deep,deuce,ad,In,Opponent,deep,down the line,far,2.114714,2.321676,3.625,23.333788
Opponent,6,48,9,1,1.426672,3.263162,1.743164,-2.861185,1.057617,36.417957,in_play,Forehand,Slice,deep,deuce,deuce,In,Opponent,out,cross court,near,-1.426672,20.506838,1.743164,-2.861185
Adi Bitton,7,48,9,1,-2.566108,5.149859,2.220703,0.873712,1.566406,66.511024,in_play,Forehand,Topspin,deep,ad,deuce,In,Opponent,deep,down the line,far,-2.566108,5.149859,-2.220703,22.896288
Opponent,8,48,9,1,-3.437934,8.20263,-2.492188,-1.423684,1.255859,41.186737,in_play,Backhand,Topspin,short,ad,ad,In,Opponent,out,cross court,near,3.437934,15.56737,-2.492188,-1.423684
Adi Bitton,9,48,9,1,-2.141827,5.559703,-3.638672,3.342462,2.103516,27.055992,in_play,Backhand,Slice,short,ad,ad,In,Opponent,deep,cross court,far,-2.141827,5.559703,3.638672,20.427538
Opponent,10,48,9,1,2.315254,2.546867,-3.21875,6.388815,1.605469,67.74073,in_play,Backhand,Topspin,deep,deuce,ad,In,Adi Bitton,short,down the line,near,-2.315254,21.223133,-3.21875,6.388815
Adi Bitton,1,49,9,1,-2.661669,4.672597,-0.482178,-0.063788,2.326172,72.930367,first_serve,Serve,Flat,deep,ad,ad,Out,Adi Bitton,deep,out wide,far,-2.661669,4.672597,0.482178,23.833788
Adi Bitton,1,49,9,1,-0.233615,6.611259,-0.318359,0.498712,2.34375,66.385994,second_serve,Serve,Kick,short,ad,ad,In,Adi Bitton,deep,down the T,far,-0.233615,6.611259,0.318359,23.271288
Adi Bitton,1,50,9,1,3.601463,7.666468,1.414062,0.061212,2.322266,63.015003,first_serve,Serve,Slice,short,deuce,deuce,In,Adi Bitton,deep,out wide,far,3.601463,7.666468,-1.414062,23.708788
Opponent,2,50,9,1,-1.221448,1.892623,4.5,2.021628,1.244141,39.952274,first_return,Forehand,Topspin,deep,ad,deuce_alley,In,Adi Bitton,deep,down the line,near,1.221448,21.877377,4.5,2.021628
Adi Bitton,3,50,9,1,-2.411401,6.100389,-0.564453,0.529962,1.074219,53.665619,serve_plus_one,Backhand,Topspin,short,ad,ad,In,Adi Bitton,deep,cross court,far,-2.411401,6.100389,0.564453,23.240038
Adi Bitton,1,51,9,1,-1.141256,7.225311,-0.565918,-0.313788,2.222656,76.450684,first_serve,Serve,Flat,short,ad,ad,In,Adi Bitton,deep,down the T,far,-1.141256,7.225311,0.565918,24.083788
Opponent,2,51,9,1,-2.659289,0.0093,-1.908203,-1.954934,1.209961,55.309433,first_return,Forehand,Flat,deep,ad,ad,In,Adi Bitton,out,inside out,near,2.659289,23.7607,-1.908203,-1.954934
Adi Bitton,3,51,9,1,-2.984381,5.485182,-2.712891,-0.407538,1.300781,32.250286,serve_plus_one,Backhand,Flat,deep,ad,ad,In,Opponent,deep,cross court,far,-2.984381,5.485182,2.712891,24.177538
Adi Bitton,1,52,9,1,-0.031079,5.799499,-0.515625,-0.501288,2.435547,73.327171,first_serve,Serve,Slice,short,ad,ad,In,Opponent,deep,down the T,far,-0.031079,5.799499,0.515625,24.271288
Adi Bitton,1,52,9,1,-0.894983,5.464611,-0.398682,0.186212,2.361328,55.930504,second_serve,Serve,Kick,deep,ad,ad,Out,Opponent,deep,down the T,far,-0.894983,5.464611,0.398682,23.583788
Opponent,2,52,9,1,-2.474339,2.204591,-0.837891,-1.993997,1.313477,45.911629,second_return,Forehand,Flat,deep,ad,ad,In,Adi Bitton,out,inside out,near,2.474339,21.565409,-0.837891,-1.993997
Opponent,1,53,10,2,0.943038,5.213241,0.894531,0.373712,2.308594,72.713661,first_serve,Serve,Slice,deep,deuce,deuce,Out,Adi Bitton,deep,down the T,far,0.943038,5.213241,-0.894531,23.396288
Opponent,1,53,10,2,1.407586,9.384717,1.074219,0.092462,2.279297,51.621307,second_serve,Serve,Kick,short,deuce,deuce,In,Adi Bitton,deep,down the T,far,1.407586,9.384717,-1.074219,23.677538
Adi Bitton,2,53,10,2,0.727221,6.843412,2.660156,-0.290872,1.164062,52.756756,second_return,Forehand,Topspin,short,deuce,deuce,In,Adi Bitton,deep,cross court,near,-0.727221,16.926588,2.660156,-0.290872
Opponent,3,53,10,2,2.711353,5.111758,2.832031,-1.407538,0.989258,47.798813,serve_plus_one,Forehand,Topspin,deep,deuce,deuce,In,Adi Bitton,out,cross court,far,2.711353,5.111758,-2.832031,25.177538
Adi Bitton,4,53,10,2,3.830315,3.112968,3.677734,-0.853372,1.386719,56.404869,return_plus_one,Forehand,Topspin,deep,deuce,deuce,In,Adi Bitton,out,cross court,near,-3.830315,20.657032,3.677734,-0.853372
