Player,Shot,Point,Game,Set,Type,Stroke,Spin,Result,Winner,Bounce Depth,Bounce Zone,Bounce Side,Hit Depth,Hit Zone,Direction,Speed (MPH),Hit Side,Bounce (x),Bounce (y),bounce_x_std,bounce_y_std,Hit (x),Hit (y),Hit (z),hit_x_std,hit_y_std
Nikol Mircheva,1,69,12,2,first_serve,Serve,Flat,In,Opponent,short,deuce,near,deep,deuce,down the T,68.982925,far,1.566437,6.022795,1.566437,6.022795,-0.498047,23.244484,2.431641,0.498047,0.525516
Opponent,2,69,12,2,first_return,Backhand,Topspin,In,Opponent,deep,ad,far,out,deuce,inside in,47.630428,near,1.035256,20.896534,-1.035256,2.873466,0.893555,-1.384622,1.374023,-1.384622,-1.384622
Nikol Mircheva,3,69,12,2,serve_plus_one,Forehand,Flat,In,Opponent,deep,deuce,near,deep,ad,inside in,65.162613,far,2.230965,4.348802,2.230965,4.348802,0.969238,23.583788,1.46875,-0.969238,0.186212
Opponent,4,69,12,2,return_plus_one,Forehand,Flat,In,Opponent,deep,deuce,far,out,deuce,cross court,59.795986,near,-3.509825,22.246025,3.509825,1.523975,1.879883,-0.915872,1.24707,-0.915872,-0.915872
Nikol Mircheva,5,69,12,2,in_play,Forehand,Topspin,Net,Opponent,short,deuce,far,out,deuce,cross court,44.478577,far,-0.652832,12.546875,-0.652832,12.546875,-3.988281,25.786913,1.12207,3.988281,-2.016913
Nikol Mircheva,1,70,12,2,first_serve,Serve,Slice,In,Nikol Mircheva,short,ad,near,deep,ad,out wide,57.956818,far,-2.830919,6.845038,-2.830919,6.845038,1.136719,23.521288,2.400391,-1.136719,0.248712
Opponent,2,70,12,2,first_return,Backhand,Topspin,In,Nikol Mircheva,short,ad,far,out,ad_alley,down the line,39.197117,near,2.998336,17.462914,-2.998336,6.307086,-4.613281,-1.009622,1.261719,-1.009622,-1.009622
Nikol Mircheva,3,70,12,2,serve_plus_one,Backhand,Topspin,In,Nikol Mircheva,short,ad,near,deep,ad,cross court,45.949158,far,-1.500768,5.876349,-1.500768,5.876349,3.416016,21.333788,1.794922,-3.416016,2.436212
Opponent,4,70,12,2,return_plus_one,Backhand,Slice,In,Nikol Mircheva,deep,ad,far,deep,ad,cross court,51.781681,near,1.408754,19.988174,-1.408754,3.781826,-3.191406,-0.314309,1.201172,-0.314309,-0.314309
Nikol Mircheva,5,70,12,2,in_play,Backhand,Slice,In,Nikol Mircheva,deep,deuce,near,deep,ad,down the line,41.464535,far,0.929455,2.203685,0.929455,2.203685,1.985352,23.255663,0.763672,-1.985352,0.514337
Opponent,6,70,12,2,in_play,Forehand,Flat,Out,Nikol Mircheva,out,ad,far,out,deuce,down the line,55.06171,near,2.892578,24.34375,-2.892578,-0.57375,1.106445,-0.775247,0.96582,-0.775247,-0.775247
Opponent,1,71,13,2,first_serve,Serve,Slice,In,Nikol Mircheva,short,deuce,far,deep,deuce,down the T,87.856277,near,-1.281551,17.617146,1.281551,6.152854,0.738281,1.045066,2.40625,1.045066,1.045066
Nikol Mircheva,2,71,13,2,first_return,Backhand,Flat,In,Nikol Mircheva,deep,deuce,near,deep,deuce,inside out,65.78363,far,3.4073,0.069698,3.4073,0.069698,-1.448242,22.865038,1.374023,1.448242,0.904962
