Player,Shot,Point,Game,Set,Type,Stroke,Spin,Result,Winner,Bounce Depth,Bounce Zone,Bounce Side,Hit Depth,Hit Zone,Direction,Speed (MPH),Hit Side,Bounce (x),Bounce (y),bounce_x_std,bounce_y_std,Hit (x),Hit (y),Hit (z),hit_x_std,hit_y_std
Nikol Mircheva,4,90,16,2,serve_plus_one,Backhand,Topspin,In,Nikol Mircheva,deep,ad,near,deep,ad,cross court,34.228645,far,-1.385536,0.882314,-1.385536,0.882314,2.373047,23.568163,1.004883,-2.373047,0.201837
Opponent,1,91,17,2,first_serve,Serve,Flat,Out,Nikol Mircheva,deep,deuce,far,deep,deuce,down the T,88.018723,near,-2.277261,20.901293,2.277261,2.868707,0.5625,0.454843,2.386719,0.454843,0.454843
Opponent,1,91,17,2,second_serve,Serve,Slice,Out,Nikol Mircheva,deep,deuce,far,deep,deuce,out wide,71.05098,near,-3.449362,21.83132,3.449362,1.93868,2.080078,0.724753,2.421875,0.724753,0.724753
Nikol Mircheva,3,91,17,2,second_return,Forehand,Topspin,In,Nikol Mircheva,deep,ad,near,deep,deuce,down the line,32.648941,far,-0.053883,5.480367,-0.053883,5.480367,-3.955078,23.990038,1.145508,3.955078,-0.220038
Opponent,1,92,17,2,first_serve,Serve,Slice,In,Nikol Mircheva,short,ad,far,deep,ad,out wide,70.918137,near,3.482083,18.246008,-3.482083,5.523992,-1.022461,0.146628,2.480469,0.146628,0.146628
Nikol Mircheva,2,92,17,2,first_return,Backhand,Topspin,In,Nikol Mircheva,short,deuce,near,deep,ad,down the line,50.133579,far,1.861328,9.039062,1.861328,9.039062,3.890625,24.380663,1.484375,-3.890625,-0.610663
Opponent,3,92,17,2,serve_plus_one,Volley,Flat,In,Nikol Mircheva,deep,deuce,far,short,deuce,cross court,25.114799,near,-1.107274,21.142405,1.107274,2.627595,1.861328,8.513816,0.546387,8.513816,8.513816
Nikol Mircheva,4,92,17,2,return_plus_one,Forehand,Topspin,In,Nikol Mircheva,short,ad,near,deep,deuce,down the line,57.359993,far,-2.318359,8.21875,-2.318359,8.21875,-1.981445,24.083788,0.708984,1.981445,-0.313788
Opponent,5,92,17,2,in_play,Volley,Flat,Net,Nikol Mircheva,short,ad,near,short,ad,cross court,17.481636,near,-1.415039,11.757812,1.415039,12.012188,-2.318359,7.693503,1.541016,7.693503,7.693503
Opponent,1,93,17,2,first_serve,Serve,Flat,Net,Nikol Mircheva,short,ad,near,deep,deuce,out wide,44.133118,near,-1.677734,11.617188,1.677734,12.152812,0.72998,0.045066,2.517578,0.045066,0.045066
Opponent,1,93,17,2,second_serve,Serve,Slice,Net,Nikol Mircheva,short,ad,near,deep,deuce,down the T,30.457878,near,-0.98291,11.671875,0.98291,12.098125,2.208984,1.170066,2.335938,1.170066,1.170066
Opponent,1,94,17,2,first_serve,Serve,Slice,In,Nikol Mircheva,short,ad,far,deep,ad,out wide,66.984352,near,3.411168,18.131519,-3.411168,5.638481,-0.771484,0.029441,2.451172,0.029441,0.029441
Nikol Mircheva,2,94,17,2,first_return,Backhand,Flat,In,Nikol Mircheva,short,deuce,near,deep,ad,down the line,54.357784,far,2.152344,9.46875,2.152344,9.46875,3.830078,24.552538,1.482422,-3.830078,-0.782538
Opponent,3,94,17,2,serve_plus_one,Volley,Flat,Net,Nikol Mircheva,short,deuce,near,short,deuce,cross court,13.526549,near,3.214844,11.460938,-3.214844,12.309062,2.152344,8.943503,1.128906,8.943503,8.943503
